"id,category,item_name,description,price,type,image"

"1,Veg Gravy,Paneer Lababdar,Rich creamy paneer curry with spices,249,Veg,images/veg-gravy/paneer-lababdar.jpg"
"2,Veg Gravy,Shahi Paneer,Royal paneer curry with cream,269,Veg,images/veg-gravy/shahi-paneer.jpg"
"3,Veg Gravy,Paneer Tikka Masala,Smoky paneer tikka gravy,289,Veg,images/veg-gravy/paneer-tikka-masala.jpg"
"4,Veg Gravy,Matar Paneer,Paneer cooked with green peas,239,Veg,images/veg-gravy/matar-paneer.jpg"
"5,Veg Gravy,Malai Kofta,Soft kofta balls in creamy gravy,279,Veg,images/veg-gravy/malai-kofta.jpg"

"6,Non Veg Gravy,Chicken Rogan Josh,Spicy rogan josh chicken curry,299,Non Veg,images/nonveg-gravy/chicken-rogan-josh.jpg"
"7,Non Veg Gravy,Chicken Bhuna,Slow cooked spicy chicken bhuna,269,Non Veg,images/nonveg-gravy/chicken-bhuna.jpg"
"8,Non Veg Gravy,Garlic Chicken Curry,Chicken curry with garlic flavor,289,Non Veg,images/nonveg-gravy/garlic-chicken-curry.jpg"
"9,Non Veg Gravy,Butter Chicken Deluxe,Creamy butter chicken special,349,Non Veg,images/nonveg-gravy/butter-chicken-deluxe.jpg"
"10,Non Veg Gravy,Chicken Handi,Traditional handi chicken curry,319,Non Veg,images/nonveg-gravy/chicken-handi.jpg"
"11,Non Veg Gravy,Chicken Kolhapuri,Hot & spicy kolhapuri chicken,329,Non Veg,images/nonveg-gravy/chicken-kolhapuri.jpg"
"12,Non Veg Gravy,Chicken Tikka Masala,Chicken tikka in spicy gravy,339,Non Veg,images/nonveg-gravy/chicken-tikka-masala.jpg"

"13,Special,Honey Chilli Potato,Crispy potato tossed in honey chilli sauce,149,Veg,images/special/honey-chilli-potato.jpg"
"14,Special,Schezwan Noodles Veg,Spicy veg schezwan noodles,179,Veg,images/special/schezwan-noodles-veg.jpg"
"15,Special,Schezwan Noodles Chicken,Chicken schezwan noodles,229,Non Veg,images/special/schezwan-noodles-chicken.jpg"
"16,Special,Dragon Paneer,Spicy dragon paneer starter,249,Veg,images/special/dragon-paneer.jpg"
"17,Special,Chicken Crispy Fry,Crispy fried chicken strips,279,Non Veg,images/special/chicken-crispy-fry.jpg"
"18,Special,Chicken Keema Noodles,Chicken keema tossed noodles,259,Non Veg,images/special/chicken-keema-noodles.jpg"
"19,Special,Spicy Chicken Wings,Hot crispy chicken wings,299,Non Veg,images/special/spicy-chicken-wings.jpg"
"20,Special,American Chopsuey,Classic american chopsuey noodles,239,Non Veg,images/special/american-chopsuey.jpg"

"21,Soup,Sweet Corn Veg Soup,Creamy sweet corn veg soup,99,Veg,images/soup/sweet-corn-veg-soup.jpg"
"22,Soup,Hot & Sour Chicken Soup,Spicy hot & sour chicken soup,129,Non Veg,images/soup/hot-sour-chicken-soup.jpg"
"23,Soup,Manchow Soup,Chinese style manchow soup,119,Veg,images/soup/manchow-soup.jpg"
"24,Soup,Chicken Clear Soup,Light chicken clear soup,139,Non Veg,images/soup/chicken-clear-soup.jpg"

"25,Beverage,Chocolate Milkshake,Thick chocolate milkshake,149,Veg,images/beverage/chocolate-milkshake.jpg"
"26,Beverage,Mocha Cold Coffee,Cold mocha flavored coffee,139,Veg,images/beverage/mocha-cold-coffee.jpg"
"27,Beverage,Blue Lagoon,Refreshing blue lagoon mocktail,159,Veg,images/beverage/blue-lagoon.jpg"
"28,Beverage,Mango Lassi,Traditional mango lassi drink,129,Veg,images/beverage/mango-lassi.jpg"
"29,Beverage,Vanilla Ice Cream,Classic vanilla ice cream scoop,89,Veg,images/beverage/vanilla-icecream.jpg"
"30,Beverage,Fresh Lime Soda,Refreshing lime soda drink,99,Veg,images/beverage/fresh-lime-soda.jpg"
"31,Veg Gravy,Kaju Paneer Masala,Cashew rich paneer masala curry,319,Veg,images/veg-gravy/kaju-paneer-masala.jpg"
"32,Veg Gravy,Paneer Butter Delight,Butter loaded paneer gravy,299,Veg,images/veg-gravy/paneer-butter-delight.jpg"
"33,Veg Gravy,Navratan Korma,Mixed vegetable korma with dry fruits,289,Veg,images/veg-gravy/navratan-korma.jpg"
"34,Veg Gravy,Chilli Garlic Paneer,Paneer tossed in chilli garlic gravy,279,Veg,images/veg-gravy/chilli-garlic-paneer.jpg"
"35,Veg Gravy,Palak Paneer,Fresh spinach paneer curry,259,Veg,images/veg-gravy/palak-paneer.jpg"

"36,Non Veg Gravy,Chicken Afghani,Creamy afghani chicken gravy,369,Non Veg,images/nonveg-gravy/chicken-afghani.jpg"
"37,Non Veg Gravy,Mutton Curry,Traditional spicy mutton curry,449,Non Veg,images/nonveg-gravy/mutton-curry.jpg"
"38,Non Veg Gravy,Chicken Kali Mirch,Black pepper chicken gravy,339,Non Veg,images/nonveg-gravy/chicken-kali-mirch.jpg"
"39,Non Veg Gravy,Chicken Mughlai,Rich mughlai chicken curry,359,Non Veg,images/nonveg-gravy/chicken-mughlai.jpg"
"40,Non Veg Gravy,Mutton Rogan Josh,Classic rogan josh mutton curry,499,Non Veg,images/nonveg-gravy/mutton-rogan-josh.jpg"

"41,Starter,Paneer Pakoda,Crispy paneer pakoda snack,179,Veg,images/starter/paneer-pakoda.jpg"
"42,Starter,Chicken Pakoda,Deep fried chicken pakoda,229,Non Veg,images/starter/chicken-pakoda.jpg"
"43,Starter,French Fries,Crispy salted french fries,119,Veg,images/starter/french-fries.jpg"
"44,Starter,Chicken Nuggets,Crispy chicken nuggets,249,Non Veg,images/starter/chicken-nuggets.jpg"
"45,Starter,Cheese Balls,Cheesy crispy snack balls,199,Veg,images/starter/cheese-balls.jpg"

"46,Rice,Chicken Fried Rice,Chinese style chicken fried rice,249,Non Veg,images/rice/chicken-fried-rice.jpg"
"47,Rice,Veg Fried Rice,Classic vegetable fried rice,189,Veg,images/rice/veg-fried-rice.jpg"
"48,Rice,Schezwan Chicken Rice,Spicy schezwan chicken rice,279,Non Veg,images/rice/schezwan-chicken-rice.jpg"
"49,Rice,Paneer Fried Rice,Fried rice tossed with paneer,229,Veg,images/rice/paneer-fried-rice.jpg"
"50,Rice,Egg Fried Rice,Classic egg fried rice,199,Non Veg,images/rice/egg-fried-rice.jpg"

"51,Pizza,Margherita Pizza,Classic cheese margherita pizza,299,Veg,images/pizza/margherita-pizza.jpg"
"52,Pizza,Farmhouse Pizza,Loaded farmhouse veg pizza,369,Veg,images/pizza/farmhouse-pizza.jpg"
